w01D	2812202	2980175	1.0597
w02D	3353163	3140763	0.9366
w03C	2443837	2491574	1.0195
w04D	1975115	1411260	0.7145
w05A	4664729	3792224	0.8129
w06D	3698361	4153748	1.1231
w07B	7689971	6719014	0.8737
w08A	1335057	2079034	1.5572
w09C	3291343	2210357	0.6715
w10C	2339967	1664564	0.7113
w11D	3983255	3751139	0.9417
w12C	7688480	8979036	1.1678
w13A	1960392	2141427	1.0923
w14A	2177470	1765883	0.8109
w15A	5134027	4099997	0.7985
w16C	2728601	3408578	1.2492
w17A	5009321	3020942	0.6030
w18D	2729291	1256318	0.4603
w19C	6175874	3425717	0.5546
w20C	3008890	2778690	0.9234
w21A	4752576	572183	0.1203
w22B	1434562	5519227	3.8473
w23B	4505451	3273876	0.7266
w24C	1327364	1664117	1.2537
w25B	884947	3347446	3.7826
w26C	2151563	1868301	0.8683
w27C	4709695	2219872	0.4713
w28D	5450595	865257	0.1587
w29A	3703941	3045392	0.8222
w30C	5040530	59431	0.0117
w31C	3754769	3477577	0.9261
w32D	2021024	3855970	1.9079
w33B	5856254	948807	0.1620
w34C	158033	2754275	17.4284
w35C	4984142	1986529	0.3985
w36B	3653434	229037	0.0626
w37A	2921428	2383387	0.8158
w38B	3286803	877403	0.2669
w39D	1063625	5958241	5.6018
w40A	2270638	5149121	2.2676
w41D	4318105	29991	0.0069
w42B	4544199	726835	0.1599
w43D	5125651	75752	0.0147
w44C	1673241	2023958	1.2096
w45B	2257874	3261598	1.4445
w46C	286380	5502111	19.2126
w47B	2503710	5389136	2.1524
w48C	5369399	5688389	1.0594
w49C	516909	6097264	11.7956
w50B	5119414	3649895	0.7129
